nom_etape,nom_recette
init,recette_nul
1A,recette_rare
1B,recette_normal
1C,recette_continue
2A,recette_peu
2B,recette_frequent
2C,recette_continue
3A,recette_rare
3B,recette_normal
3C,recette_continue
4A,recette_peu
4B,recette_frequent
4C,recette_continue
